record_id;id_pekerja;training_id;jenis_pelatihan;layering;skill_group;educational_establishment;start_date;end_date;bulan;lokasi;dur;status;expire_date;month_ed;year_ed;nama_lembaga_sertifikasi;tgl_terima_sertifikat;sumber_data
ET00001;ID1464;1522;HSSE Training;Sr. Staff;Supporting Group;Training;13/01/2025;16/01/2025;January;Semarang;4;Aktif;16/01/2025;1;2025;;;SAP
ET00002;ID0267;6321;HSSE Training;Staff;Production Group;Training;13/01/2025;15/01/2025;January;Jakarta;3;Aktif;15/01/2025;1;2025;;;SAP
ET00003;ID0221;1713;HSSE Training;Sr. Staff;Production Group;Training;16/01/2025;17/01/2025;January;Yogyakarta;2;Aktif;17/01/2025;1;2025;;;SAP
ET00004;ID0232;449;Technical Training;Staff;Engineering Group;Training;20/01/2025;22/01/2025;January;Jakarta;3;Aktif;22/01/2025;1;2025;;;SAP
ET00005;ID0252;543;Technical Training;Jr. Staff;Production Group;Training;20/01/2025;22/01/2025;January;Jakarta;3;Aktif;22/01/2025;1;2025;;;SAP
ET00006;ID0266;4725;Technical Training;Staff;Production Group;Training;20/01/2025;22/01/2025;January;Jakarta;3;Aktif;22/01/2025;1;2025;;;SAP
ET00007;ID0271;6321;Technical Training;Jr. Staff;Production Group;Training;20/01/2025;22/01/2025;January;Jakarta;3;Aktif;22/01/2025;1;2025;;;SAP
ET00008;ID0136;364;HSSE Training;Sr. Staff;Production Group;Training;20/01/2025;21/01/2025;January;Cirebon;2;Aktif;21/01/2025;1;2025;;;SAP
ET00009;ID0232;4724;Certification;Staff;Engineering Group;Sertifikasi Kompetensi;23/01/2025;24/01/2025;January;Jakarta;2;Aktif;24/01/2028;1;2028;LSP Pertamina;09/10/2025 00:00;SAP
ET00010;ID0143;63;Certification;Staff;Production Group;Sertifikasi Kompetensi;23/01/2025;24/01/2025;January;Jakarta;2;Aktif;24/01/2025;1;2025;;;SAP
ET00011;ID0242;4724;Certification;Jr. Staff;Production Group;Sertifikasi Kompetensi;23/01/2025;24/01/2025;January;Jakarta;2;Aktif;24/01/2025;1;2025;;;SAP
ET00012;ID0214;1456;Certification;Jr. Staff;Production Group;Sertifikasi Kompetensi;23/01/2025;24/01/2025;January;Jakarta;2;Aktif;24/01/2025;1;2025;;;SAP
