record_id;id_pekerja;training_id;start_date;end_date;bulan;lokasi;dur;status;expire_date;month_ed;year_ed;sumber_data
1;ID1464;1522;13/01/2025;16/01/2025;January;Jakarta;4;Aktif;16/01/2025;1;2025;SAP
2;ID0267;6321;13/01/2025;15/01/2025;January;Palembang;3;Aktif;15/01/2025;1;2025;SAP
3;ID0221;1713;16/01/2025;17/01/2025;January;Palembang;2;Aktif;17/01/2025;1;2025;SAP
4;ID0232;449;20/01/2025;22/01/2025;January;Cilacap;3;Aktif;22/01/2025;1;2025;SAP
5;ID0252;543;20/01/2025;22/01/2025;January;Jakarta;3;Aktif;22/01/2025;1;2025;SAP
6;ID0266;4725;20/01/2025;22/01/2025;January;Cilacap;3;Aktif;22/01/2025;1;2025;SAP
7;ID0271;6321;20/01/2025;22/01/2025;January;Jakarta;3;Aktif;22/01/2025;1;2025;SAP
8;ID0136;364;20/01/2025;21/01/2025;January;Jakarta;2;Aktif;21/01/2025;1;2025;SAP
9;ID0232;4724;23/01/2025;24/01/2025;January;Jakarta;2;Aktif;24/01/2028;1;2028;SAP
10;ID0143;63;23/01/2025;24/01/2025;January;Cilacap;2;Aktif;24/01/2025;1;2025;SAP
11;ID0242;4724;23/01/2025;24/01/2025;January;Semarang;2;Aktif;24/01/2025;1;2025;SAP
12;ID0214;1456;23/01/2025;24/01/2025;January;Jakarta;2;Aktif;24/01/2025;1;2025;SAP
13;ID0252;2276;23/01/2025;24/01/2025;January;Palembang;2;Aktif;24/01/2028;1;2028;SAP
14;ID0266;2256;23/01/2025;24/01/2025;January;Cilacap;2;Aktif;24/01/2028;1;2028;SAP
15;ID0271;4724;23/01/2025;24/01/2025;January;Jakarta;2;Aktif;24/01/2028;1;2028;SAP
16;ID1421;63;30/01/2025;30/01/2025;January;Jakarta;1;Aktif;30/01/2025;1;2025;SAP
17;ID0146;4724;31/01/2025;31/01/2025;January;Semarang;1;Aktif;31/01/2025;1;2025;SAP
18;ID0419;216;31/01/2025;31/01/2025;January;Jakarta;1;Aktif;31/01/2025;1;2025;SAP
19;ID1482;6321;31/01/2025;31/01/2025;January;Jakarta;1;Aktif;31/01/2025;1;2025;SAP
20;ID1428;4724;31/01/2025;31/01/2025;January;Jakarta;1;Aktif;31/01/2025;1;2025;SAP
21;ID0066;4724;31/01/2025;31/01/2025;January;Jakarta;1;Aktif;31/01/2025;1;2025;SAP
22;ID0066;3409;31/01/2025;31/01/2025;January;Purwokerto;1;Aktif;31/01/2025;1;2025;SAP
23;ID1483;71;31/01/2025;31/01/2025;January;Semarang;1;Aktif;31/01/2025;1;2025;SAP
24;ID0391;4105;31/01/2025;31/01/2025;January;Jakarta;1;Aktif;31/01/2025;1;2025;SAP
25;ID0391;6321;31/01/2025;31/01/2025;January;Jakarta;1;Aktif;31/01/2025;1;2025;SAP
26;ID0391;6321;31/01/2025;31/01/2025;January;Jakarta;1;Aktif;31/01/2025;1;2025;SAP
27;ID0391;3333;31/01/2025;31/01/2025;January;Cirebon;1;Aktif;31/01/2025;1;2025;SAP
28;ID0395;2298;31/01/2025;31/01/2025;January;Purwokerto;1;Aktif;31/01/2025;1;2025;SAP
29;ID1304;4724;31/01/2025;31/01/2025;January;Palembang;1;Aktif;31/01/2025;1;2025;SAP
30;ID1304;1713;31/01/2025;31/01/2025;January;Cilacap;1;Aktif;31/01/2025;1;2025;SAP
31;ID0341;4724;31/01/2025;31/01/2025;January;Palembang;1;Aktif;31/01/2025;1;2025;SAP
32;ID0457;1090;31/01/2025;31/01/2025;January;Semarang;1;Aktif;31/01/2025;1;2025;SAP
33;ID1346;3409;03/02/2025;04/02/2025;February;Purwokerto;2;Aktif;04/02/2025;2;2025;SAP
34;ID1455;184;10/02/2025;12/02/2025;February;Yogyakarta;3;Aktif;12/02/2025;2;2025;SAP
35;ID1345;4724;10/02/2025;13/02/2025;February;Purwokerto;4;Aktif;13/02/2025;2;2025;SAP
36;ID1433;1089;10/02/2025;13/02/2025;February;Jakarta;4;Aktif;13/02/2025;2;2025;SAP
37;ID1484;7443;10/02/2025;12/02/2025;February;Jakarta;3;Aktif;12/02/2025;2;2025;SAP
38;ID1053;8393;10/02/2025;11/02/2025;February;Bandung;2;Aktif;11/02/2025;2;2025;SAP
