no;bagian;fungsi;nama;nopek;january_training;january_sertifikasi_kompetensi;january_mobile_learning;february_training;february_sertifikasi_kompetensi;february_mobile_learning;march_training;march_sertifikasi_kompetensi;march_mobile_learning;april_training;april_sertifikasi_kompetensi;april_mobile_learning;may_training;may_sertifikasi_kompetensi;may_mobile_learning;june_training;june_sertifikasi_kompetensi;june_mobile_learning;july_training;july_sertifikasi_kompetensi;july_mobile_learning;august_training;august_sertifikasi_kompetensi;august_mobile_learning;september_training;september_sertifikasi_kompetensi;september_mobile_learning;data_issue
1;Energy Processing Unit Alpha;Energy Processing Unit Alpha;Employee_0001;ID0001;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
2;Operation & Manufacturing;Operations & Process Management;Employee_0002;ID0002;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
3;Operation & Manufacturing;Operations & Process Management;Employee_0003;ID0003;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
4;Operation & Manufacturing;Operations & Process Management;Employee_0004;ID0004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
5;Operation & Manufacturing;Operations & Process Management;Employee_0005;ID0005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
6;Operation & Manufacturing;Operations & Process Management;Employee_0006;ID0006;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;FALSE
7;Production I;Processing Line A;Employee_0007;ID0007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;FALSE
8;Fuel Oil Complex I;Processing Line A;Employee_0008;ID0008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
9;Fuel Oil Complex I;Processing Line A;Employee_0009;ID0009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;FALSE
10;Fuel Oil Complex I;Processing Line A;Employee_0010;ID0010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;1;0;0;0;0;FALSE
