no,nama_pekerja,id_pekerja,bagian,fungsi,start_date,end_date,bulan,lokasi,dur,training_id,nama_pelatihan,layering,gender,sumber_data,educational_establishment,skill_group,jenis_pelatihan,valid_for_'year,expire_date,month_ed,year_ed,status,nama_lembaga/provider_sertifikasi,tgl_terima__sertifikat,data_issue
1,Employee_1464,ID1464,Communication & Relation,Corporate Services,2025-01-13,2025-01-16,January,Jakarta,4,1522,Process Safety Asset Integrity Management System (PSAIMS) Intermediate,Sr. Staff,Male,SAP,Training,Supporting Group,HSSE Training,NULL,2025-01-16,1,2025,Aktif,NULL,NULL,False
2,Employee_0267,ID0267,Oil Movement 70,Processing Line A,2025-01-13,2025-01-15,January,Palembang,3,6321,Intermediate Safety for Refinery (ISR),Staff,Male,SAP,Training,Production Group,HSSE Training,NULL,2025-01-15,1,2025,Aktif,NULL,NULL,False
3,Employee_0221,ID0221,Oil Movement 60 & NBM,Processing Line A,2025-01-16,2025-01-17,January,Palembang,2,1713,Advance Safety for Refinery,Sr. Staff,Male,SAP,Training,Production Group,HSSE Training,NULL,2025-01-17,1,2025,Aktif,NULL,NULL,False
4,Employee_0232,ID0232,Oil Movement 70,Processing Line A,2025-01-20,2025-01-22,January,Cilacap,3,0449,Pelatihan Petugas Pengukur Tanki,Staff,Male,SAP,Training,Engineering Group,Technical Training,NULL,2025-01-22,1,2025,Aktif,NULL,NULL,False
5,Employee_0252,ID0252,Oil Movement 70,Processing Line A,2025-01-20,2025-01-22,January,Jakarta,3,0543,Pelatihan Petugas Pengukur Tanki,Jr. Staff,Male,SAP,Training,Production Group,Technical Training,NULL,2025-01-22,1,2025,Aktif,NULL,NULL,False
6,Employee_0266,ID0266,Oil Movement 70,Processing Line A,2025-01-20,2025-01-22,January,Cilacap,3,4725,Pelatihan Petugas Pengukur Tanki,Staff,Male,SAP,Training,Production Group,Technical Training,NULL,2025-01-22,1,2025,Aktif,NULL,NULL,False
7,Employee_0271,ID0271,Oil Movement 70,Processing Line A,2025-01-20,2025-01-22,January,Jakarta,3,6321,Pelatihan Petugas Pengukur Tanki,Jr. Staff,Male,SAP,Training,Production Group,Technical Training,NULL,2025-01-22,1,2025,Aktif,NULL,NULL,False
8,Employee_0136,ID0136,Oil Movement 60 & NBM,Processing Line A,2025-01-20,2025-01-21,January,Jakarta,2,0364,Emergency Response Preparedness (ERP) level Advanced,Sr. Staff,Male,SAP,Training,Production Group,HSSE Training,NULL,2025-01-21,1,2025,Aktif,NULL,NULL,False
9,Employee_0232,ID0232,Oil Movement 70,Processing Line A,2025-01-23,2025-01-24,January,Jakarta,2,4724,Sertifikasi Petugas Pengukur Tanki,Staff,Male,SAP,Sertifikasi Kompetensi,Engineering Group,Certification,3,2028-01-24,1,2028,Aktif,LSP Pertamina,2025-10-09 00:00:00,False
10,Employee_0143,ID0143,Oil Movement 60 & NBM,Processing Line A,2025-01-23,2025-01-24,January,Cilacap,2,0063,Sertifikasi Petugas Pengukur Tanki,Staff,Male,SAP,Sertifikasi Kompetensi,Production Group,Certification,NULL,2025-01-24,1,2025,Aktif,NULL,NULL,False
11,Employee_0242,ID0242,Oil Movement 70,Processing Line A,2025-01-23,2025-01-24,January,Semarang,2,4724,Sertifikasi Petugas Pengukur Tanki,Jr. Staff,Male,SAP,Sertifikasi Kompetensi,Production Group,Certification,NULL,2025-01-24,1,2025,Aktif,NULL,NULL,False
12,Employee_0214,ID0214,Oil Movement 60 & NBM,Processing Line A,2025-01-23,2025-01-24,January,Jakarta,2,1456,Sertifikasi Petugas Pengukur Tanki,Jr. Staff,Male,SAP,Sertifikasi Kompetensi,Production Group,Certification,NULL,2025-01-24,1,2025,Aktif,NULL,NULL,False
13,Employee_0252,ID0252,Oil Movement 70,Processing Line A,2025-01-23,2025-01-24,January,Palembang,2,2276,Sertifikasi Petugas Pengukur Tanki,Jr. Staff,Male,SAP,Sertifikasi Kompetensi,Production Group,Certification,3,2028-01-24,1,2028,Aktif,LSP Pertamina,2025-10-09 00:00:00,False
